Ingredient,Dish,Meal,Date,Index,Vegetarian,Vegan,Gluten-Free
peas,Breakfast Fried Rice,breakfast,2022-09-27,3,True,False,False
spinach,Breakfast Fried Rice,breakfast,2022-09-27,3,True,False,False
garlic,Breakfast Fried Rice,breakfast,2022-09-27,3,True,False,False
ginger,Breakfast Fried Rice,breakfast,2022-09-27,3,True,False,False
green onions,Breakfast Fried Rice,breakfast,2022-09-27,3,True,False,False
carrot,Breakfast Fried Rice,breakfast,2022-09-27,3,True,False,False
celery,Breakfast Fried Rice,breakfast,2022-09-27,3,True,False,False
salt,Breakfast Fried Rice,breakfast,2022-09-27,3,True,False,False
zucchini,Zesty Turmeric Roasted Zucchini,lunch,2022-10-06,5,False,True,True
canola/olive oil blend,Zesty Turmeric Roasted Zucchini,lunch,2022-10-06,5,False,True,True
garlic,Zesty Turmeric Roasted Zucchini,lunch,2022-10-06,5,False,True,True
salt,Zesty Turmeric Roasted Zucchini,lunch,2022-10-06,5,False,True,True
dill,Zesty Turmeric Roasted Zucchini,lunch,2022-10-06,5,False,True,True
garbanzo beans,Crispy Falafel,dinner,2022-07-17,1,False,True,False
parsley,Crispy Falafel,dinner,2022-07-17,1,False,True,False
white flour,Crispy Falafel,dinner,2022-07-17,1,False,True,False
wheat flour,Crispy Falafel,dinner,2022-07-17,1,False,True,False
spices,Crispy Falafel,dinner,2022-07-17,1,False,True,False
sesame,Crispy Falafel,dinner,2022-07-17,1,False,True,False
onions,Crispy Falafel,dinner,2022-07-17,1,False,True,False
broccoli rabe,Sauteed Broccoli Rabe,dinner,2022-11-28,5,False,True,True
onions,Sauteed Broccoli Rabe,dinner,2022-11-28,5,False,True,True
canola/olive oil blend,Sauteed Broccoli Rabe,dinner,2022-11-28,5,False,True,True
garlic,Sauteed Broccoli Rabe,dinner,2022-11-28,5,False,True,True
red pepper flakes,Sauteed Broccoli Rabe,dinner,2022-11-28,5,False,True,True
pepper,Sauteed Broccoli Rabe,dinner,2022-11-28,5,False,True,True
pork,Al Pastor Fajitas,lunch,2023-01-24,0,False,False,True
bell peppers,Al Pastor Fajitas,lunch,2023-01-24,0,False,False,True
onions,Al Pastor Fajitas,lunch,2023-01-24,0,False,False,True
garlic,Al Pastor Fajitas,lunch,2023-01-24,0,False,False,True
ABF chicken (halal),Smoked Rotisserie Chicken,lunch,2022-08-12,0,False,False,True
canola/olive oil blend,Smoked Rotisserie Chicken,lunch,2022-08-12,0,False,False,True
salt,Smoked Rotisserie Chicken,lunch,2022-08-12,0,False,False,True
pepper,Smoked Rotisserie Chicken,lunch,2022-08-12,0,False,False,True
paprika,Smoked Rotisserie Chicken,lunch,2022-08-12,0,False,False,True
onion powder,Smoked Rotisserie Chicken,lunch,2022-08-12,0,False,False,True
garlic powder,Smoked Rotisserie Chicken,lunch,2022-08-12,0,False,False,True
parsley,Smoked Rotisserie Chicken,lunch,2022-08-12,0,False,False,True
ABF chicken (halal),Baked Chicken,dinner,2022-08-18,2,False,False,True
canola/olive oil blend,Baked Chicken,dinner,2022-08-18,2,False,False,True
salt,Baked Chicken,dinner,2022-08-18,2,False,False,True
bacon,Double Smoked Bacon,breakfast,2022-07-01,3,False,False,True
salt,Double Smoked Bacon,breakfast,2022-07-01,3,False,False,True
sugar,Double Smoked Bacon,breakfast,2022-07-01,3,False,False,True
sodium phosphate,Double Smoked Bacon,breakfast,2022-07-01,3,False,False,True
sodium erythorbate,Double Smoked Bacon,breakfast,2022-07-01,3,False,False,True
pasta,Spinach Pesto Pasta,dinner,2022-10-18,12,True,False,False
spinach,Spinach Pesto Pasta,dinner,2022-10-18,12,True,False,False
pesto sauce,Spinach Pesto Pasta,dinner,2022-10-18,12,True,False,False
tomatoes,Spinach Pesto Pasta,dinner,2022-10-18,12,True,False,False
mushrooms,Spinach Pesto Pasta,dinner,2022-10-18,12,True,False,False
parmesan cheese,Spinach Pesto Pasta,dinner,2022-10-18,12,True,False,False
garlic,Spinach Pesto Pasta,dinner,2022-10-18,12,True,False,False
potatoes,Tater Tots,breakfast,2023-01-25,5,False,True,False
canola oil,Tater Tots,breakfast,2023-01-25,5,False,True,False
soybean oil,Tater Tots,breakfast,2023-01-25,5,False,True,False
cottonseed oil,Tater Tots,breakfast,2023-01-25,5,False,True,False
sunflower oil,Tater Tots,breakfast,2023-01-25,5,False,True,False
corn oil,Tater Tots,breakfast,2023-01-25,5,False,True,False
dextrose,Tater Tots,breakfast,2023-01-25,5,False,True,False
natural flavor,Tater Tots,breakfast,2023-01-25,5,False,True,False
salt,Tater Tots,breakfast,2023-01-25,5,False,True,False
sodium acid pyrophosphate,Tater Tots,breakfast,2023-01-25,5,False,True,False
ABF chicken (halal),Chicken Souvlaki,dinner,2022-07-25,11,False,False,True
"lemon oregano marinade (garlic, pepper, oregano, salt, canola oil, lime juice, lemon juice)",Chicken Souvlaki,dinner,2022-07-25,11,False,False,True
onions,Chicken Souvlaki,dinner,2022-07-25,11,False,False,True
lemons,Chicken Souvlaki,dinner,2022-07-25,11,False,False,True
ABF chicken (halal),Chicken Inasal,dinner,2022-07-26,0,False,False,True
chicken soup base,Chicken Tortilla Soup,lunch,2023-01-16,9,False,False,False
chicken,Chicken Tortilla Soup,lunch,2023-01-16,9,False,False,False
canola oil/olive oil blend,Chicken Tortilla Soup,lunch,2023-01-16,9,False,False,False
tomato puree,Chicken Tortilla Soup,lunch,2023-01-16,9,False,False,False
tomato,Chicken Tortilla Soup,lunch,2023-01-16,9,False,False,False
black beans,Chicken Tortilla Soup,lunch,2023-01-16,9,False,False,False
salsa,Chicken Tortilla Soup,lunch,2023-01-16,9,False,False,False
onion,Chicken Tortilla Soup,lunch,2023-01-16,9,False,False,False
jalepeno,Chicken Tortilla Soup,lunch,2023-01-16,9,False,False,False
corn,Chicken Tortilla Soup,lunch,2023-01-16,9,False,False,False
hominy,Chicken Tortilla Soup,lunch,2023-01-16,9,False,False,False
garlic,Chicken Tortilla Soup,lunch,2023-01-16,9,False,False,False
cilantro,Chicken Tortilla Soup,lunch,2023-01-16,9,False,False,False
chili powder,Chicken Tortilla Soup,lunch,2023-01-16,9,False,False,False
oregano,Chicken Tortilla Soup,lunch,2023-01-16,9,False,False,False
salt,Chicken Tortilla Soup,lunch,2023-01-16,9,False,False,False
"vegetable soup base (contains mushrooms, celery)",Smoky Saffron Chard Zucchini Soup,dinner,2022-07-26,8,False,True,True
brown rice,Smoky Saffron Chard Zucchini Soup,dinner,2022-07-26,8,False,True,True
chard,Smoky Saffron Chard Zucchini Soup,dinner,2022-07-26,8,False,True,True
zucchini,Smoky Saffron Chard Zucchini Soup,dinner,2022-07-26,8,False,True,True
black pepper,Smoky Saffron Chard Zucchini Soup,dinner,2022-07-26,8,False,True,True
chickpea,Smoky Saffron Chard Zucchini Soup,dinner,2022-07-26,8,False,True,True
onion,Smoky Saffron Chard Zucchini Soup,dinner,2022-07-26,8,False,True,True
celery,Smoky Saffron Chard Zucchini Soup,dinner,2022-07-26,8,False,True,True
lemon juice,Smoky Saffron Chard Zucchini Soup,dinner,2022-07-26,8,False,True,True
canola/olive oil blend,Smoky Saffron Chard Zucchini Soup,dinner,2022-07-26,8,False,True,True
tomato paste,Smoky Saffron Chard Zucchini Soup,dinner,2022-07-26,8,False,True,True
garlic,Smoky Saffron Chard Zucchini Soup,dinner,2022-07-26,8,False,True,True
parsley,Smoky Saffron Chard Zucchini Soup,dinner,2022-07-26,8,False,True,True
paprika,Smoky Saffron Chard Zucchini Soup,dinner,2022-07-26,8,False,True,True
salt,Smoky Saffron Chard Zucchini Soup,dinner,2022-07-26,8,False,True,True
hash brown potatoes,Homestyle Hash Browns,breakfast,2022-06-25,4,False,True,False
canola/olive oil blend,Homestyle Hash Browns,breakfast,2022-06-25,4,False,True,False
salt,Homestyle Hash Browns,breakfast,2022-06-25,4,False,True,False
organic tofu,Tofu Sofritas,lunch,2022-09-07,1,False,True,True
salt,Tofu Sofritas,lunch,2022-09-07,1,False,True,True
pepper,Tofu Sofritas,lunch,2022-09-07,1,False,True,True
canola/olive oil blend,Tofu Sofritas,lunch,2022-09-07,1,False,True,True
potatoes,Breakfast Potatoes,breakfast,2022-11-09,5,False,True,True
onions,Breakfast Potatoes,breakfast,2022-11-09,5,False,True,True
canola oil,Breakfast Potatoes,breakfast,2022-11-09,5,False,True,True
sunflower seed oil,Breakfast Potatoes,breakfast,2022-11-09,5,False,True,True
cotton seed oil,Breakfast Potatoes,breakfast,2022-11-09,5,False,True,True
palm oil,Breakfast Potatoes,breakfast,2022-11-09,5,False,True,True
corn oil,Breakfast Potatoes,breakfast,2022-11-09,5,False,True,True
soybean oil,Breakfast Potatoes,breakfast,2022-11-09,5,False,True,True
salt,Breakfast Potatoes,breakfast,2022-11-09,5,False,True,True
disodium dihydrogen pyrophosphate,Breakfast Potatoes,breakfast,2022-11-09,5,False,True,True
garbanzo beans,Vegetable Shasukha,dinner,2023-02-10,12,False,True,True
tomatoes,Vegetable Shasukha,dinner,2023-02-10,12,False,True,True
potatoes,Vegetable Shasukha,dinner,2023-02-10,12,False,True,True
butternut squash,Vegetable Shasukha,dinner,2023-02-10,12,False,True,True
shallots,Vegetable Shasukha,dinner,2023-02-10,12,False,True,True
paprika,Vegetable Shasukha,dinner,2023-02-10,12,False,True,True
thyme,Vegetable Shasukha,dinner,2023-02-10,12,False,True,True
humanely raised pork,Char Siu Pork,dinner,2022-07-16,0,False,False,False
hoisin sauce,Char Siu Pork,dinner,2022-07-16,0,False,False,False
garlic,Char Siu Pork,dinner,2022-07-16,0,False,False,False
red food coloring,Char Siu Pork,dinner,2022-07-16,0,False,False,False
ginger,Char Siu Pork,dinner,2022-07-16,0,False,False,False
brown sugar,Char Siu Pork,dinner,2022-07-16,0,False,False,False
tamari,Char Siu Pork,dinner,2022-07-16,0,False,False,False
garlic chili sauce,Char Siu Pork,dinner,2022-07-16,0,False,False,False
chicken,Moroccan Harira and Chicken Soup,dinner,2022-10-17,8,False,False,True
carrot,Moroccan Harira and Chicken Soup,dinner,2022-10-17,8,False,False,True
celery,Moroccan Harira and Chicken Soup,dinner,2022-10-17,8,False,False,True
onion,Moroccan Harira and Chicken Soup,dinner,2022-10-17,8,False,False,True
parsnip,Moroccan Harira and Chicken Soup,dinner,2022-10-17,8,False,False,True
leek,Moroccan Harira and Chicken Soup,dinner,2022-10-17,8,False,False,True
chicken soup base,Moroccan Harira and Chicken Soup,dinner,2022-10-17,8,False,False,True
turmeric,Moroccan Harira and Chicken Soup,dinner,2022-10-17,8,False,False,True
cumin seed,Moroccan Harira and Chicken Soup,dinner,2022-10-17,8,False,False,True
coriander seed,Moroccan Harira and Chicken Soup,dinner,2022-10-17,8,False,False,True
garlic,Moroccan Harira and Chicken Soup,dinner,2022-10-17,8,False,False,True
garbanzo beans,Moroccan Harira and Chicken Soup,dinner,2022-10-17,8,False,False,True
lemon juice,Moroccan Harira and Chicken Soup,dinner,2022-10-17,8,False,False,True
tomato paste,Moroccan Harira and Chicken Soup,dinner,2022-10-17,8,False,False,True
harissa paste,Moroccan Harira and Chicken Soup,dinner,2022-10-17,8,False,False,True
canola/olive oil blend,Moroccan Harira and Chicken Soup,dinner,2022-10-17,8,False,False,True
pepper,Moroccan Harira and Chicken Soup,dinner,2022-10-17,8,False,False,True
potatoes,Hash Brown Patty,breakfast,2022-10-17,5,False,True,True
canola oil,Hash Brown Patty,breakfast,2022-10-17,5,False,True,True
corn oil,Hash Brown Patty,breakfast,2022-10-17,5,False,True,True
cottonseed oil,Hash Brown Patty,breakfast,2022-10-17,5,False,True,True
palm oil,Hash Brown Patty,breakfast,2022-10-17,5,False,True,True
soybean oil,Hash Brown Patty,breakfast,2022-10-17,5,False,True,True
sunflower oil,Hash Brown Patty,breakfast,2022-10-17,5,False,True,True
salt,Hash Brown Patty,breakfast,2022-10-17,5,False,True,True
onion powder,Hash Brown Patty,breakfast,2022-10-17,5,False,True,True
natural flavor,Hash Brown Patty,breakfast,2022-10-17,5,False,True,True
dextrose,Hash Brown Patty,breakfast,2022-10-17,5,False,True,True
rice,Vegetable Fried Rice,lunch,2022-09-29,6,False,True,False
peas,Vegetable Fried Rice,lunch,2022-09-29,6,False,True,False
carrot,Vegetable Fried Rice,lunch,2022-09-29,6,False,True,False
celery,Vegetable Fried Rice,lunch,2022-09-29,6,False,True,False
onion,Vegetable Fried Rice,lunch,2022-09-29,6,False,True,False
green onion,Vegetable Fried Rice,lunch,2022-09-29,6,False,True,False
tamari,Vegetable Fried Rice,lunch,2022-09-29,6,False,True,False
garlic,Vegetable Fried Rice,lunch,2022-09-29,6,False,True,False
canola/olive oil blend,Vegetable Fried Rice,lunch,2022-09-29,6,False,True,False
salt,Vegetable Fried Rice,lunch,2022-09-29,6,False,True,False
macaroni pasta,Mac & Cheese,lunch,2022-10-04,6,True,False,False
bread crumb,Mac & Cheese,lunch,2022-10-04,6,True,False,False
"white sauce (cheddar cheese, flour, monterey jack cheese, cream, canola oil, milk powder, garlic, salt, onion powder, white pepper, nutmeg)",Mac & Cheese,lunch,2022-10-04,6,True,False,False
parmesan cheese,Mac & Cheese,lunch,2022-10-04,6,True,False,False
enriched wheat flour,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
malted barley flour,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
salt,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
sugar,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
datem,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
enzymes,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
l-cysteine,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
calcium sulfate,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
dextrose,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
yeast,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
calcium propionate,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
monoglycerides,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
diglycerides ,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
citric acid,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
cornmeal,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
soybean oil,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
palm oil,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
dehydrated garlic,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
salt,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
natural flavors,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
artificial flavors,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
citric acid,Garlic Breadstick,dinner,2022-07-04,7,True,False,False
flour tortilla,Chilaquiles with Tomatillo Salsa,breakfast,2022-08-22,2,True,False,False
cage free eggs,Chilaquiles with Tomatillo Salsa,breakfast,2022-08-22,2,True,False,False
onion,Chilaquiles with Tomatillo Salsa,breakfast,2022-08-22,2,True,False,False
cilantro,Chilaquiles with Tomatillo Salsa,breakfast,2022-08-22,2,True,False,False
cojita cheese,Chilaquiles with Tomatillo Salsa,breakfast,2022-08-22,2,True,False,False
sour cream,Chilaquiles with Tomatillo Salsa,breakfast,2022-08-22,2,True,False,False
"tomatillo salsa (tomatillos, onion, serrano chile, garlic, cilantro, salt)",Chilaquiles with Tomatillo Salsa,breakfast,2022-08-22,2,True,False,False
radish,Chilaquiles with Tomatillo Salsa,breakfast,2022-08-22,2,True,False,False
garlic,Chilaquiles with Tomatillo Salsa,breakfast,2022-08-22,2,True,False,False
canola/olive oil blend,Chilaquiles with Tomatillo Salsa,breakfast,2022-08-22,2,True,False,False
vegetable soup base,Green Lentil Soup,lunch,2023-02-02,9,False,True,False
lentils,Green Lentil Soup,lunch,2023-02-02,9,False,True,False
tomatoes,Green Lentil Soup,lunch,2023-02-02,9,False,True,False
carrots,Green Lentil Soup,lunch,2023-02-02,9,False,True,False
onions,Green Lentil Soup,lunch,2023-02-02,9,False,True,False
canola oil,Green Lentil Soup,lunch,2023-02-02,9,False,True,False
olive oil,Green Lentil Soup,lunch,2023-02-02,9,False,True,False
garlic,Green Lentil Soup,lunch,2023-02-02,9,False,True,False
jalapenos,Green Lentil Soup,lunch,2023-02-02,9,False,True,False
cilantro,Green Lentil Soup,lunch,2023-02-02,9,False,True,False
cumin,Green Lentil Soup,lunch,2023-02-02,9,False,True,False
bay leaf,Green Lentil Soup,lunch,2023-02-02,9,False,True,False
french fries,Moule Frites,dinner,2022-12-14,12,False,False,True
mussels,Moule Frites,dinner,2022-12-14,12,False,False,True
canola shortening,Moule Frites,dinner,2022-12-14,12,False,False,True
shallots,Moule Frites,dinner,2022-12-14,12,False,False,True
garlic,Moule Frites,dinner,2022-12-14,12,False,False,True
lemons,Moule Frites,dinner,2022-12-14,12,False,False,True
parsley,Moule Frites,dinner,2022-12-14,12,False,False,True
broccoli,Steamed Broccoli,lunch,2022-05-21,5,False,True,True
chicken tenderloins,Chicken Tenders,lunch,2022-09-28,7,False,False,False
water,Chicken Tenders,lunch,2022-09-28,7,False,False,False
corn starch,Chicken Tenders,lunch,2022-09-28,7,False,False,False
sea salt,Chicken Tenders,lunch,2022-09-28,7,False,False,False
rice flour,Chicken Tenders,lunch,2022-09-28,7,False,False,False
pea protein isolate,Chicken Tenders,lunch,2022-09-28,7,False,False,False
dextrose,Chicken Tenders,lunch,2022-09-28,7,False,False,False
baking soda,Chicken Tenders,lunch,2022-09-28,7,False,False,False
yellow corn flour,Chicken Tenders,lunch,2022-09-28,7,False,False,False
cream of tartar,Chicken Tenders,lunch,2022-09-28,7,False,False,False
spice,Chicken Tenders,lunch,2022-09-28,7,False,False,False
sunflower oil,Chicken Tenders,lunch,2022-09-28,7,False,False,False
guar gum,Chicken Tenders,lunch,2022-09-28,7,False,False,False
soybean oil,Chicken Tenders,lunch,2022-09-28,7,False,False,False
white rice,Steamed Rice,dinner,2022-09-20,3,False,True,True
cauliflower,Lemon Thyme Roasted Cauliflower,lunch,2022-09-22,5,False,True,True
olive oil,Lemon Thyme Roasted Cauliflower,lunch,2022-09-22,5,False,True,True
salt,Lemon Thyme Roasted Cauliflower,lunch,2022-09-22,5,False,True,True
pepper,Lemon Thyme Roasted Cauliflower,lunch,2022-09-22,5,False,True,True
lemon,Lemon Thyme Roasted Cauliflower,lunch,2022-09-22,5,False,True,True
broccolini,Sauteed Garlic Broccolini,dinner,2022-07-27,5,False,True,False
garlic,Sauteed Garlic Broccolini,dinner,2022-07-27,5,False,True,False
onion,Sauteed Garlic Broccolini,dinner,2022-07-27,5,False,True,False
canola/olive oil blend,Sauteed Garlic Broccolini,dinner,2022-07-27,5,False,True,False
pasta,Pasta Bolognese,lunch,2022-10-02,8,False,False,False
vegetable soup base,Lemon Pepper Chickpea Soup,dinner,2022-10-10,12,False,True,True
"soup mix vegetables (carrot, celery, onion)",Lemon Pepper Chickpea Soup,dinner,2022-10-10,12,False,True,True
spinach,Lemon Pepper Chickpea Soup,dinner,2022-10-10,12,False,True,True
potato,Lemon Pepper Chickpea Soup,dinner,2022-10-10,12,False,True,True
chickpea,Lemon Pepper Chickpea Soup,dinner,2022-10-10,12,False,True,True
pepper,Lemon Pepper Chickpea Soup,dinner,2022-10-10,12,False,True,True
canola/olive oil blend,Lemon Pepper Chickpea Soup,dinner,2022-10-10,12,False,True,True
lemon juice,Lemon Pepper Chickpea Soup,dinner,2022-10-10,12,False,True,True
garlic,Lemon Pepper Chickpea Soup,dinner,2022-10-10,12,False,True,True
cauliflower,Curried Cauliflower Soup,dinner,2022-08-23,7,False,True,True
curry powder,Curried Cauliflower Soup,dinner,2022-08-23,7,False,True,True
potatoes,Curried Cauliflower Soup,dinner,2022-08-23,7,False,True,True
onion,Curried Cauliflower Soup,dinner,2022-08-23,7,False,True,True
celery,Curried Cauliflower Soup,dinner,2022-08-23,7,False,True,True
garlic,Curried Cauliflower Soup,dinner,2022-08-23,7,False,True,True
bay leaf,Curried Cauliflower Soup,dinner,2022-08-23,7,False,True,True
jalapeno,Curried Cauliflower Soup,dinner,2022-08-23,7,False,True,True
canola/olive oil blend,Curried Cauliflower Soup,dinner,2022-08-23,7,False,True,True
salt,Curried Cauliflower Soup,dinner,2022-08-23,7,False,True,True
"Fried Eggs (cage free eggs, canola/olive oil blend, salt)",Irish Breakfast Plate,breakfast,2022-07-21,2,False,False,False
Canadian Bacon,Irish Breakfast Plate,breakfast,2022-07-21,2,False,False,False
"Baked Beans (beans, water, brown sugar, salt, mustard water, vinegar, mustard seed, salt, paprika, turmeric, modified corn starch, onion powder, caramel color, spice, garlic powder, natural flavor)",Irish Breakfast Plate,breakfast,2022-07-21,2,False,False,False
Hash Brown Patty (fried in canola oil),Irish Breakfast Plate,breakfast,2022-07-21,2,False,False,False
Roasted Tomatoes,Irish Breakfast Plate,breakfast,2022-07-21,2,False,False,False
bread,Assorted Allergy-Friendly Items,breakfast,2023-01-20,9,False,True,True
corn tortillas,Assorted Allergy-Friendly Items,breakfast,2023-01-20,9,False,True,True
alternative milk,Assorted Allergy-Friendly Items,breakfast,2023-01-20,9,False,True,True
dessert items,Assorted Allergy-Friendly Items,breakfast,2023-01-20,9,False,True,True
mung bean protein,"Plant Powered ""Eggs”",breakfast,2022-09-02,5,False,True,True
canola oil,"Plant Powered ""Eggs”",breakfast,2022-09-02,5,False,True,True
onion,"Plant Powered ""Eggs”",breakfast,2022-09-02,5,False,True,True
gellan gum,"Plant Powered ""Eggs”",breakfast,2022-09-02,5,False,True,True
carrot extractives,"Plant Powered ""Eggs”",breakfast,2022-09-02,5,False,True,True
natural flavors,"Plant Powered ""Eggs”",breakfast,2022-09-02,5,False,True,True
turmeric extractives,"Plant Powered ""Eggs”",breakfast,2022-09-02,5,False,True,True
potassium citrate,"Plant Powered ""Eggs”",breakfast,2022-09-02,5,False,True,True
salt,"Plant Powered ""Eggs”",breakfast,2022-09-02,5,False,True,True
soy lecithin,"Plant Powered ""Eggs”",breakfast,2022-09-02,5,False,True,True
sugar,"Plant Powered ""Eggs”",breakfast,2022-09-02,5,False,True,True
tapioca syrup,"Plant Powered ""Eggs”",breakfast,2022-09-02,5,False,True,True
tetrasodium pyrophosphate,"Plant Powered ""Eggs”",breakfast,2022-09-02,5,False,True,True
transglutaminase,"Plant Powered ""Eggs”",breakfast,2022-09-02,5,False,True,True
cheese tortellini,Tomato & Basil Tortellini,dinner,2022-09-04,8,True,False,False
marinara sauce,Tomato & Basil Tortellini,dinner,2022-09-04,8,True,False,False
tomatoes,Tomato & Basil Tortellini,dinner,2022-09-04,8,True,False,False
garlic,Tomato & Basil Tortellini,dinner,2022-09-04,8,True,False,False
spinach,Tomato & Basil Tortellini,dinner,2022-09-04,8,True,False,False
shallots,Tomato & Basil Tortellini,dinner,2022-09-04,8,True,False,False
basil,Tomato & Basil Tortellini,dinner,2022-09-04,8,True,False,False
parmesan cheese,Tomato & Basil Tortellini,dinner,2022-09-04,8,True,False,False
salt,Tomato & Basil Tortellini,dinner,2022-09-04,8,True,False,False
split peas,Mediterranean Split Pea Soup,dinner,2022-09-29,9,False,True,True
carrots,Mediterranean Split Pea Soup,dinner,2022-09-29,9,False,True,True
onions,Mediterranean Split Pea Soup,dinner,2022-09-29,9,False,True,True
sundried tomatoes,Mediterranean Split Pea Soup,dinner,2022-09-29,9,False,True,True
"vegetable soup base (contains carrot, celery)",Mediterranean Split Pea Soup,dinner,2022-09-29,9,False,True,True
canola/olive oil blend,Mediterranean Split Pea Soup,dinner,2022-09-29,9,False,True,True
garlic,Mediterranean Split Pea Soup,dinner,2022-09-29,9,False,True,True
mustard,Mediterranean Split Pea Soup,dinner,2022-09-29,9,False,True,True
lemon juice,Mediterranean Split Pea Soup,dinner,2022-09-29,9,False,True,True
parsley,Mediterranean Split Pea Soup,dinner,2022-09-29,9,False,True,True
paprika,Mediterranean Split Pea Soup,dinner,2022-09-29,9,False,True,True
marjoram leaf,Mediterranean Split Pea Soup,dinner,2022-09-29,9,False,True,True
thyme,Mediterranean Split Pea Soup,dinner,2022-09-29,9,False,True,True
bay leaf,Mediterranean Split Pea Soup,dinner,2022-09-29,9,False,True,True
rosemary,Mediterranean Split Pea Soup,dinner,2022-09-29,9,False,True,True
potatoes,Roasted Potatoes,lunch,2022-10-25,3,False,True,True
